Mato Kuroi
Kotori Kanbe
Kotarou Tennouji
Akane Senri
Misaki Mei
Tomoe Mami
Shintaro Kisaragi
Momo Kisaragi
Takane Enomoto
Ruuko Kominato
Homura Akemi
Madoka Kaname
Yuri Nakamura
Sakura Kinomoto
Makoto Itou
Makoto Sunakawa
Sailor Uranus
Sailor Mercury
Sailor Neptune
Sailor Pluto
Katsuhira Agata
Honoka Maki
Akira Aoi
Ririchiyo Shirakiin
Shiba Tatsuya
Shiba Miyuki
Nano Shinonome
Mai Minakami
Aurica Nestmile
Edward Elric
Lelouch Lamperouge
Alphonse Elric
Victorique de Blois
Taki Tachibana
Mitsuha Miyamizu
Miki Okudera
Alucard
Van Hohenheim
Inuyasha
Izayoi
Tomori Nao
Kagome Higurashi
Yuyuko Saigyouji
Youmu Konpaku
Komeiji Koishi
Komeiji Satori
Natsume Rin
Quetzalcoatl
Emiya Shirou
Karuta Roromiya
